Count,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,clust
1,Q3,No,0,16,Yes,9.43,No,Yes,Fiber Optic,9,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,1662.08,2
1,Q3,No,0,24,Yes,30.87,Yes,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.1,1712.7,0.0,0,740.88,2453.58,2
1,Q3,No,0,4,Yes,31.61,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.45,396.1,0.0,0,126.44,522.54,2
1,Q3,Yes,2,32,Yes,47.34,Yes,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.9,2303.35,0.0,0,1514.88,3818.23,0
1,Q3,Yes,1,24,Yes,16.1,No,Yes,Cable,12,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,93.15,2231.05,0.0,0,386.40000000000003,2617.4500000000003,0
1,Q3,No,0,54,Yes,12.08,Yes,Yes,DSL,5,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,82.45,4350.1,0.0,0,652.32,5002.42,0
1,Q3,No,0,2,Yes,13.17,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.35,139.05,0.0,0,26.34,165.39000000000001,2
1,Q3,Yes,2,55,Yes,42.82,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,85.45,4874.7,0.0,90,2355.1,7319.799999999999,1
1,Q3,No,0,3,Yes,9.22,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,81.35,233.7,0.0,0,27.660000000000004,261.36,2
1,Q3,No,0,1,Yes,35.09,No,Yes,Fiber Optic,17,No,No,Yes,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,75.3,75.3,0.0,20,35.09,130.39,2
1,Q3,No,0,5,No,0.0,No,Yes,DSL,26,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,28.45,131.05,0.0,0,0.0,131.05,2
1,Q3,Yes,4,5,Yes,45.76,Yes,Yes,Fiber Optic,22,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.35,334.8,0.0,0,228.79999999999998,563.6,2
1,Q3,Yes,3,65,Yes,18.39,Yes,Yes,Fiber Optic,28,Yes,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,105.25,6786.4,0.0,0,1195.3500000000001,7981.75,1
1,Q3,Yes,3,49,Yes,22.92,Yes,Yes,Fiber Optic,14,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,5670.33,0
1,Q3,Yes,1,43,Yes,14.52,Yes,Yes,Fiber Optic,5,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,5312.259999999999,0
1,Q3,No,0,56,Yes,48.8,Yes,Yes,Fiber Optic,12,Yes,No,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,104.55,5794.65,0.0,0,2732.7999999999997,8527.449999999999,1
1,Q3,No,0,2,Yes,26.62,No,Yes,DSL,11,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,44.95,85.15,0.0,0,53.24,138.39000000000001,2
1,Q3,No,0,4,Yes,49.5,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,94.3,424.45,0.0,0,198.0,622.45,2
1,Q3,No,0,8,Yes,40.45,Yes,Yes,Fiber Optic,29,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.6,819.4,0.0,0,323.6,1143.0,2
1,Q3,Yes,1,3,Yes,25.77,No,Yes,Fiber Optic,2,Yes,No,No,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Mailed Check,88.3,273.75,0.0,0,77.31,351.06,2
1,Q3,No,0,8,Yes,42.93,No,Yes,Fiber Optic,9,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,92.1,729.95,0.0,0,343.44,1073.39,2
1,Q3,Yes,1,3,Yes,3.29,No,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.4,224.05,0.0,0,9.870000000000001,233.92000000000002,2
1,Q3,Yes,1,68,Yes,24.13,Yes,Yes,Fiber Optic,24,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,7768.4400000000005,1
1,Q3,Yes,1,7,Yes,13.63,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.5,676.7,0.0,0,95.41000000000001,772.11,2
1,Q3,No,0,1,Yes,29.68,No,Yes,Cable,18,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.25,69.25,0.0,0,29.68,98.93,2
1,Q3,No,0,22,Yes,40.18,Yes,Yes,Fiber Optic,8,No,No,No,No,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,3066.91,0
1,Q3,No,0,19,Yes,39.97,Yes,Yes,Fiber Optic,9,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,2535.23,2
1,Q3,No,0,15,Yes,46.38,Yes,Yes,Fiber Optic,19,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,1842.3500000000001,2
1,Q3,No,0,10,Yes,41.37,Yes,Yes,Fiber Optic,14,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,95.35,898.35,0.0,0,413.7,1312.05,2
1,Q3,Yes,1,12,Yes,6.97,No,Yes,Fiber Optic,19,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,80.45,950.2,0.0,0,83.64,1033.8400000000001,2
1,Q3,Yes,1,13,Yes,1.47,No,Yes,Fiber Optic,5,No,Yes,No,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.05,1169.35,0.0,0,19.11,1188.4599999999998,2
1,Q3,No,0,23,Yes,31.17,No,Yes,Fiber Optic,23,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,94.75,2293.6,0.0,0,716.9100000000001,3010.51,0
1,Q3,Yes,1,17,Yes,36.82,Yes,Yes,Fiber Optic,6,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.35,1463.45,0.0,0,625.94,2089.3900000000003,2
1,Q3,No,0,1,Yes,39.78,No,Yes,Cable,12,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,50.15,50.15,0.0,0,39.78,89.93,2
1,Q3,No,0,1,Yes,34.51,No,Yes,Fiber Optic,15,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0,34.51,104.10999999999999,2
1,Q3,No,0,1,Yes,15.28,No,Yes,Cable,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,45.1,45.1,0.0,0,15.28,60.38,2
1,Q3,No,0,1,No,0.0,No,Yes,DSL,26,No,Yes,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,43.3,43.3,0.0,0,0.0,43.3,2
1,Q3,No,0,1,Yes,15.24,No,Yes,DSL,14,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,45.1,45.1,0.0,0,15.24,60.34,2
1,Q3,No,0,5,Yes,12.27,No,Yes,Fiber Optic,20,No,No,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,78.95,378.4,0.0,0,61.349999999999994,439.75,2
1,Q3,No,0,1,Yes,30.17,Yes,Yes,Fiber Optic,6,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.55,93.55,0.0,0,30.17,123.72,2
1,Q3,No,0,1,Yes,22.5,No,Yes,Fiber Optic,27,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,69.95,69.95,0.0,10,22.5,102.45,2
1,Q3,Yes,1,5,Yes,47.28,Yes,Yes,Fiber Optic,11,No,Yes,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,81.0,371.65,40.64,10,236.4,577.41,2
1,Q3,No,0,1,Yes,18.2,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.55,70.55,0.0,0,18.2,88.75,2
1,Q3,Yes,1,66,Yes,28.86,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,99.5,6822.15,0.0,0,1904.76,8726.91,1
1,Q3,Yes,1,69,Yes,48.88,Yes,Yes,Fiber Optic,4,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,108.4,7318.2,0.0,0,3372.7200000000003,10690.92,1
1,Q3,No,0,25,Yes,46.34,Yes,Yes,Fiber Optic,22,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,105.95,2655.25,0.0,0,1158.5,3813.75,0
1,Q3,No,0,39,Yes,41.93,Yes,Yes,Fiber Optic,23,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.65,3759.05,0.0,150,1635.27,5544.32,0
1,Q3,Yes,1,31,Yes,47.95,No,Yes,Fiber Optic,21,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.9,2911.3,0.0,0,1486.45,4397.75,0
1,Q3,No,0,33,Yes,17.24,Yes,Yes,Fiber Optic,25,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,110.45,3655.45,0.0,70,568.92,4294.37,0
1,Q3,No,0,13,Yes,7.22,Yes,Yes,Fiber Optic,28,Yes,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,100.8,1308.1,0.0,0,93.86,1401.9599999999998,2
1,Q3,No,0,10,Yes,7.51,No,Yes,Fiber Optic,18,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,79.25,793.55,0.0,0,75.1,868.65,2
1,Q3,No,0,10,No,0.0,No,Yes,DSL,4,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,34.7,329.8,0.0,0,0.0,329.8,2
1,Q3,Yes,1,16,Yes,26.12,No,Yes,Fiber Optic,8,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.3,1178.25,0.0,0,417.92,1596.17,2
1,Q3,Yes,1,32,Yes,43.51,Yes,Yes,Fiber Optic,22,No,No,Yes,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,104.9,3351.55,33.73,0,1392.32,4710.14,0
1,Q3,Yes,1,12,Yes,30.63,Yes,Yes,Fiber Optic,27,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.1,1060.2,49.06,0,367.56,1378.7,2
1,Q3,No,0,12,Yes,28.63,No,Yes,Cable,7,No,Yes,Yes,Yes,No,No,No,No,Month-to-Month,Yes,Credit Card,83.8,1029.75,44.58,80,343.56,1408.73,2
1,Q3,No,0,14,Yes,16.32,Yes,Yes,Fiber Optic,11,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.95,1036.75,39.29,0,228.48000000000002,1225.94,2
1,Q3,No,0,32,Yes,33.22,No,Yes,Fiber Optic,9,No,Yes,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.4,2276.95,44.31,0,1063.04,3295.68,0
1,Q3,No,0,2,Yes,5.49,Yes,Yes,Fiber Optic,25,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,85.55,187.45,0.0,0,10.98,198.42999999999998,2
1,Q3,Yes,1,30,Yes,6.23,No,Yes,Fiber Optic,4,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,79.65,2365.15,0.0,0,186.9,2552.05,0
1,Q3,No,0,32,Yes,48.95,Yes,Yes,Fiber Optic,9,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,85.95,2628.6,0.0,0,1566.4,4195.0,0
1,Q3,No,0,38,Yes,47.39,Yes,Yes,Fiber Optic,2,No,No,No,Yes,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.55,3734.25,0.0,0,1800.82,5535.07,0
1,Q3,No,0,2,Yes,12.96,No,Yes,Fiber Optic,20,No,Yes,Yes,Yes,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,95.1,180.25,0.0,0,25.92,206.17000000000002,2
1,Q3,Yes,1,3,No,0.0,No,Yes,DSL,20,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,36.45,93.7,0.0,0,0.0,93.7,2
1,Q3,No,0,1,No,0.0,No,Yes,DSL,21,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,25.05,25.05,0.0,0,0.0,25.05,2
1,Q3,Yes,1,43,No,0.0,No,Yes,DSL,21,No,Yes,Yes,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,55.55,2342.2,0.0,0,0.0,2342.2,2
1,Q3,No,0,37,Yes,41.85,Yes,Yes,Fiber Optic,2,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,106.75,4056.75,0.0,0,1548.45,5605.2,0
1,Q3,No,0,35,Yes,35.1,Yes,Yes,Fiber Optic,29,No,No,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,95.45,3474.05,0.0,80,1228.5,4782.55,0
1,Q3,No,0,1,Yes,45.8,No,Yes,Fiber Optic,10,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,69.6,0.0,0,45.8,115.39999999999999,2
1,Q3,No,0,1,Yes,18.37,No,Yes,Fiber Optic,13,No,No,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,78.45,78.45,0.0,0,18.37,96.82000000000001,2
1,Q3,No,0,9,Yes,12.91,Yes,Yes,Fiber Optic,21,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.45,762.5,0.0,0,116.19,878.69,2
1,Q3,No,0,38,Yes,5.75,No,Yes,Cable,30,No,Yes,Yes,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,70.15,2497.35,0.0,0,218.5,2715.85,0
1,Q3,No,0,51,Yes,19.49,Yes,Yes,Fiber Optic,11,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,97.8,4913.3,0.0,0,993.9899999999999,5907.29,0
1,Q3,Yes,1,53,Yes,7.94,Yes,Yes,Fiber Optic,6,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.9,5549.4,0.0,0,420.82,5970.219999999999,1
1,Q3,Yes,1,51,Yes,22.14,Yes,Yes,Fiber Optic,30,Yes,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,93.8,4750.95,0.0,0,1129.14,5880.09,0
1,Q3,Yes,1,50,Yes,31.56,Yes,Yes,Fiber Optic,4,No,Yes,Yes,No,Yes,No,No,No,Month-to-Month,Yes,Bank Withdrawal,95.05,4888.7,0.0,50,1578.0,6516.7,1
1,Q3,Yes,2,51,Yes,43.58,Yes,Yes,Cable,22,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.2,4146.05,0.0,0,2222.58,6368.63,0
1,Q3,No,0,26,Yes,1.26,Yes,Yes,Fiber Optic,18,No,Yes,Yes,No,Yes,Yes,Yes,No,Month-to-Month,No,Bank Withdrawal,105.75,2710.25,0.0,90,32.76,2833.01,0
1,Q3,Yes,1,1,Yes,24.24,No,Yes,Cable,9,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,49.55,49.55,0.0,0,24.24,73.78999999999999,2
1,Q3,Yes,1,2,Yes,6.86,No,Yes,DSL,20,No,Yes,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,50.15,115.1,0.0,0,13.72,128.82,2
1,Q3,Yes,1,29,Yes,35.38,Yes,Yes,Fiber Optic,21,No,Yes,Yes,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,95.9,2745.2,0.0,50,1026.02,3821.22,0
1,Q3,No,0,1,No,0.0,No,Yes,DSL,15,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,25.25,25.25,0.0,0,0.0,25.25,2
1,Q3,Yes,1,46,Yes,5.36,Yes,Yes,Fiber Optic,22,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.0,4680.05,0.0,0,246.56,4926.610000000001,0
1,Q3,No,0,1,Yes,24.75,No,Yes,Fiber Optic,22,No,No,No,No,No,No,No,No,Month-to-Month,Yes,Bank Withdrawal,71.15,71.15,0.0,20,24.75,115.9,2
1,Q3,Yes,1,46,Yes,48.62,No,Yes,Fiber Optic,3,No,No,No,No,No,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,80.4,3605.2,0.0,20,2236.52,5861.719999999999,0
1,Q3,No,0,1,Yes,26.22,No,Yes,Cable,22,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,55.8,55.8,0.0,0,26.22,82.02,2
1,Q3,No,0,41,Yes,42.06,Yes,Yes,Fiber Optic,21,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,98.4,4187.75,0.0,0,1724.46,5912.21,0
1,Q3,No,0,35,Yes,39.69,Yes,Yes,Fiber Optic,25,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,101.4,3496.3,0.0,0,1389.1499999999999,4885.45,0
1,Q3,No,0,26,Yes,34.69,No,Yes,Fiber Optic,27,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,91.25,2351.8,0.0,0,901.9399999999999,3253.7400000000002,0
1,Q3,No,0,1,Yes,28.46,No,Yes,Fiber Optic,12,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,71.65,71.65,0.0,0,28.46,100.11000000000001,2
1,Q3,No,0,1,Yes,48.95,Yes,Yes,Fiber Optic,23,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,74.2,74.2,0.0,0,48.95,123.15,2
1,Q3,Yes,8,43,Yes,31.25,Yes,Yes,Fiber Optic,20,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,101.0,4388.4,0.0,150,1343.75,5882.15,0
1,Q3,Yes,3,25,Yes,33.63,Yes,Yes,Fiber Optic,25,Yes,No,No,No,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,89.05,2177.45,0.0,0,840.7500000000001,3018.2,0
1,Q3,Yes,1,1,Yes,49.6,No,Yes,Fiber Optic,13,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,70.85,70.85,0.0,0,49.6,120.44999999999999,2
1,Q3,Yes,1,41,Yes,45.04,Yes,Yes,Cable,29,No,Yes,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,111.95,4534.9,0.0,0,1846.6399999999999,6381.539999999999,1
1,Q3,No,0,2,Yes,43.96,Yes,Yes,Fiber Optic,14,No,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,78.55,149.55,0.0,0,87.92,237.47000000000003,2
1,Q3,No,0,49,Yes,32.36,Yes,Yes,Fiber Optic,2,No,No,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,96.2,4718.25,0.0,0,1585.6399999999999,6303.889999999999,1
1,Q3,No,0,6,Yes,8.91,No,Yes,Fiber Optic,27,No,No,Yes,No,No,No,No,No,Month-to-Month,No,Bank Withdrawal,74.4,434.1,0.0,20,53.46,507.56,2
1,Q3,Yes,1,7,Yes,21.43,Yes,Yes,Fiber Optic,12,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.55,646.85,0.0,0,150.01,796.86,2
1,Q3,No,0,20,Yes,29.29,Yes,Yes,Fiber Optic,15,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,85.8,1727.5,0.0,0,585.8,2313.3,2
1,Q3,No,0,54,Yes,33.49,Yes,Yes,Fiber Optic,8,No,Yes,No,No,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,101.5,5373.1,0.0,0,1808.46,7181.56,1
1,Q3,No,0,2,Yes,15.32,No,Yes,Fiber Optic,21,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,69.6,131.65,0.0,0,30.64,162.29000000000002,2
1,Q3,Yes,1,58,Yes,3.18,Yes,Yes,Fiber Optic,5,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,98.7,5812.6,0.0,0,184.44,5997.04,1
1,Q3,Yes,7,43,Yes,8.75,Yes,Yes,Fiber Optic,13,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Credit Card,109.55,4830.25,0.0,0,376.25,5206.5,0
1,Q3,No,0,49,Yes,44.88,Yes,Yes,Fiber Optic,15,No,No,Yes,No,No,Yes,No,Yes,Month-to-Month,Yes,Credit Card,90.85,4515.85,0.0,0,2199.1200000000003,6714.970000000001,1
1,Q3,No,0,17,Yes,30.37,No,Yes,Fiber Optic,28,No,Yes,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,89.15,1496.9,0.0,0,516.29,2013.19,2
1,Q3,Yes,1,41,Yes,45.84,Yes,Yes,Fiber Optic,18,Yes,No,Yes,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,83.75,3273.55,0.0,0,1879.44,5152.99,0
1,Q3,Yes,1,42,Yes,2.9,No,Yes,Fiber Optic,21,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,74.15,3229.4,0.0,0,121.8,3351.2000000000003,0
1,Q3,Yes,1,11,Yes,1.28,Yes,Yes,Fiber Optic,14,No,No,Yes,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,99.55,1131.2,0.0,0,14.08,1145.28,2
1,Q3,No,0,15,Yes,4.28,Yes,Yes,Fiber Optic,6,No,Yes,No,No,No,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,89.85,1424.95,0.0,0,64.2,1489.15,2
1,Q3,No,0,9,Yes,2.45,Yes,Yes,DSL,7,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,54.55,494.05,0.0,0,22.05,516.1,2
1,Q3,No,0,37,Yes,26.95,Yes,Yes,Fiber Optic,17,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,76.25,2841.55,0.0,0,997.15,3838.7000000000003,0
1,Q3,No,0,3,Yes,2.26,No,Yes,Fiber Optic,3,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,70.4,204.7,0.0,0,6.779999999999999,211.48,2
